Service,Site,Server,URL
Lidarr,63Archer,kamino-vm.domain.leigh-services.com,"http://kamino-vm.domain.leigh-services.com:8686/"
Readarr,63Archer,kamino-vm.domain.leigh-services.com,"http://kamino-vm.domain.leigh-services.com:8787/"
Sonarr,63Archer,kamino-vm.domain.leigh-services.com,"http://10.10.0.38:8989/"
Sonarr,51Peel,geonosis.domain.leigh-services.com,"http://geonosis.domain.leigh-services.com:8989/"
Radarr,63Archer,kamino-vm.domain.leigh-services.com,"http://kamino-vm.domain.leigh-services.com:8787/"
Radarr,51Peel,geonosis.domain.leigh-services.com,"http://geonosis.domain.leigh-services.com:7878/"
Prowlarr,63Archer,kamino-vm.domain.leigh-services.com,"http://kamino-vm.domain.leigh-services.com:9696/"
Prowlarr,51Peel,geonosis.domain.leigh-services.com,"http://geonosis.domain.leigh-services.com:9696/"
Transmission,63Archer,deathstar.domain.leigh-services.com,"http://deathstar.domain.leigh-services.com:49092/transmission/web/"
Transmission,51Peel,kevs-qnap-663.domain.leigh-services.com,"http://kevs-qnap-663.domain.leigh-services.com:49092/transmission/web/"
MulvadVPN,Admin,mullvad.net,"https://mullvad.net/en/account/#/login?next=/"
"JiraWorkspaces",Admin,leigh-services.atlassian.net,"https://leigh-services.atlassian.net/jira/your-work"
"JiraServiceDesk",Admin,leigh-services.atlassian.net,"https://leigh-services.atlassian.net/jira/projects?selectedProjectType=service_desk"
"JiraAdmin",Admin,admin.atlassian.com,"https://admin.atlassian.com/"
"UbiquitiUDM-PRO-SE",63Archer,holonet.domain.leigh-services.com,"https://holonet.domain.leigh-services.com"
"UbiquitiDreamMachine",51Peel,hyperchannel.domain.leigh-services.com,"https://hyperchannel.domain.leigh-services.com"
"Unifi-OS",Admin,unifi.ui.com,"https://unifi.ui.com/consoles"
QNAPNAS,63Archer,deathstar.domain.leigh-services.com,"https://deathstar.domain.leigh-services.com/cgi-bin/"
QNAPNAS,63Archer,ds-1.domain.leigh-services.com,"https://ds-1.domain.leigh-services.com/cgi-bin/"
QNAPNAS,51Peel,kevs-qnap-663.domain.leigh-services.com,"https://kevs-qnap-663.domain.leigh-services.com/cgi-bin/"
QNAPNAS,51Peel,kevs-qnap-412.domain.leigh-services.com,"https://kevs-qnap-412.domain.leigh-services.com/cgi-bin/"
"JellyFinServer",63Archer,hoth.domain.leigh-services,"http://hoth.domain.leigh-services.com:8096"
"JellyFinServer",51Peel,discovery.domain.leigh-services.com,"http://discovery.domain.leigh-services.com:8096"
"JellyFinServer",Claremont,desktop-k33noi3.domain.garyllewellyn.us,"http://desktop-k33noi3.domain.garyllewellyn.us:8096"
"PrinterWebAdmin",63Archer,10.10.0.44,"http://10.10.0.44"
"PrinterWebAdmin",51Peel,10.20.0.53,"http://10.20.0.53"
"VirtualisationStation",63Archer,deathstar.domain.leigh-services.com,"https://deathstar.domain.leigh-services.com/qvs/#/console/vms/1?quality=high"
"AdminDroidReporter",63Archer,darthvader.domain.leigh-services.com,"https://darthvader.domain.leigh-services.com/"
"Microsoft365Admin",Admin,admin.microsoft.com,"https://admin.microsoft.com"
"MicrosoftConnectivityTest",Admin,connectivity.office.com,"https://connectivity.office.com"
"ExchangeOnline",Admin,admin.exchange.microsoft.com,"https://admin.exchange.microsoft.com"
"MicrosoftEntra",Admin,entra.microsoft.com,"https://entra.microsoft.com"
"AzurePortal",Admin,portal.azure.com,"https://portal.azure.com"
