"FunctionName","Description","Example"
"Add-EnvPath","The Add-EnvPath function adds a path to the system or user environment variable 'Path' and the current session's environment variable 'Path'. If the specified path already exists in the environment variable, it will not be added again.","Add-EnvPath -Path 'C:\Program Files\MyApp'          This example adds 'C:\Program Files\MyApp' to the current session's environment variable 'Path'."
"Add-MemberToGroup","",""
"Add-Office365Functions","",""
"Get-UsersTeamsCacheSummary","",""
"Get-TeamsCache","",""
"Clear-TeamsCacheLM","",""
"Clear-TeamsCacheCU","",""
"Stop-Teams","",""
"Connect-InternalPRTG","",""
"Connect-Mstsc","This function provides the functionality to start an RDP session without having to type in the password",". .\Connect-Mstsc"
"Connect-PSExec","Connect-PSExec - Spawn PSEXEC and launches a PSEXEC PowerShell or Command Console session to a remote computer. Sets remote computers ExecutionPolicy to Unrestricted in the powershell session.","Connect-PSExec -ComputerName COMPUTERNAME"
"Connect-PSExecPowershell","Connect-PSExecPowershell - Spawn PSEXEC and launches an PSEXEC PowerShell Console session to a remote computer. Sets remote computers ExecutionPolicy to Unrestricted.","Connect-PSExecPowershell -ComputerName COMPUTERNAME 		Starts an RDP session to COMPUTERNAME"
"Connect-RDPSession","",""
"Connect-RemoteAssistance","",""
"Convert-DnsZoneFile","",""
"Convert-ImageForTeams","This function converts images in a source folder to PNG format and creates thumbnail images. The converted images and thumbnails are saved in a destination folder with GUID-based names.","Convert-ImageForTeams -sourceFolder ""C:\Path\To\Source\Images"" -destinationFolder ""C:\Path\To\Destination""     #>     param (         [string]$sourceFolder,         [string]$destinationFolder     )      # Install the necessary"
"Copy-FilestoComputer","",""
"Copy-FilestoRemote","A detailed description of the Copy-FilestoRemote function.","Copy-FilestoRemote -ComputerName ""SERVER1"" -LocalFile C:\Temp\Test"
"New-RandomDocument","",""
"New-RandomImage","",""
"New-RandomAudioAndVideo","",""
"Disable-ADUserAccount","The Disable-ADUserAccount funciton will disable a Carpetright Active Directory User Account using either the users SamAccountName or their EmployeeID. The internal process for disabling a user sets the users Enabled parameter to $false, moves the disabled account to the Disabled OU (OU=Disabled Accounts,DC=uk,DC=cruk,DC=net) and also removes the User Account from relevant groups.","Disable-ADUserAccount -EmployeeID '12345678' 		 	User account with EmployeeID '12345678' will be disabled, moved to the disabled OU and also removed from groups."
"Disable-CiscoSecure","",""
"Disable-PrintSpooler","A detailed description of the Disable-PrintSpooler function.","PS C:\> Disable-PrintSpooler -ComputerName 'value1'"
"Disable-RDPRemotely","",""
"DisableADAccountsMenu","",""
"Disconnect-ExchangeSessions","",""
"Enable-CiscoSecure","",""
"Enable-PrintSpooler","A detailed description of the Enable-PrintSpooler function.","PS C:\> Enable-PrintSpooler -ComputerName 'value1'"
"Enable-RDPRemotely","",""
"ExchangeConnector","",""
"Expand-NinjaOne7Zip","",""
"Expand-NinjaOneZip","",""
"Export-DistributionGroupProperties","",""
"Export-OUsToImage","Exports OU structure from the domain of user running script into an image file.     Utilizies Windows Forms TreeView control to generate tree structure and save to image.","Export-OUsToImage -Path C:\support\OUStructure"
"Find-UnusedUserAccounts","The Find-UnusedUserAccounts function is used to find unused user accounts in Active Directory. It retrieves user accounts that meet certain conditions, such as disabled accounts, expired passwords, and accounts that have not been logged into for a specified period of time.","$unused_accounts = Find-UnusedUserAccounts     $unused_accounts | Where-Object { $_"
"Get-AccessToken()","",""
"Get-AccessToken()","",""
"Get-ADEmailAddress","",""
"Get-ADGroupAccountDetails","",""
"Get-AdminUrls","The Get-AdminURL function reads a CSV file containing a list of admin URLs and filters them based on specified parameters. The function can filter URLs by service, site, and server. The function can also test the availability of a server and open URLs in the default browser.","Get-AdminURL -Server ""server01""      This example retrieves all admin URLs for server01."
"Get-ADMissingSubnets","",""
"Get-ADObjectAddress","",""
"Get-ADUserAccount","",""
"Get-ADUserEmailAddress","",""
"Get-ADUserPasswordStatus","Gets the password status of an Active Directory user account.","Get-ADUserPasswordStatus -SamAccountName 'jsmith'"
"Get-ADUserSearch","",""
"Get-AllScheduledScripts","",""
"Get-CertificateExpiry","",""
"Get-CidrIPRange","This function was created to output the details of a CIDR range using the API from hackertarget","Get-CidrIPRange -cidrAddress 192"
"Get-ComputerIP","A detailed description of the Get-ComputerIP function.","Get-ComputerIP"
"Get-ContactList","",""
"Get-DBInstances","",""
"Get-DCDiagResults","",""
"Get-DirectReports","A detailed description of the Get-DirectReports function.","PS C:\> Get-DirectReports -EmployeeID 'Value1'"
"Get-DistributionListMembers","",""
"Get-DotNetVersion","Retrieve",""
"Get-DownloadPercent([decimal]$d)","",""
"Get-DriveSpaceReport","",""
"Get-EmptyOUs","",""
"Get-EmptyOUs","",""
"Get-EnvPath","This function retrieves the environment path for the specified container (Machine, User, or Process).",""
"Get-EventLogs","",""
"Get-EventsFromTimeframe","This script enumerates all event logs within a specified timeframe and all text logs that have a last write time in the timeframe or contains a line that has a date/time reference within the timeframe.  It records this information to a set of files and copies 		any interesting log file off for further analysis.","Get-EventsFromTimeframe -StartTimestamp '01-29-2014 13:25:00' -EndTimeStamp '01-29-2014 13:28:00' -ComputerName COMPUTERNAME 		 		This example finds all event log entries between StartTimestamp and EndTimestamp and any file with an extension inside the $FileExtension param that either was last written within the timeframe or contains a line with a date/time reference within the timeframe."
"Get-ExchangeServerInSite","",""
"Get-ExchangeVersion","Retrieves Exchange server version information using registry for rollup info 	Outputs objects which can be post-processed or filtered.","Get-ExchangeVersion"
"Get-FileAndFolderPermissions","The Get-FileAndFolderPermissions function retrieves the permissions for files or folders at a specified path. It can retrieve permissions for a single file or folder, or for all files or folders in a directory and its subdirectories.","Get-FileAndFolderPermissions -SourcePath ""C:\Temp\MyFile"
"Get-FilteredContacts","",""
"Get-FilteredEvents","",""
"Get-FilteredMailboxes","",""
"Get-FriendlySize","",""
"Get-FSMORoleOwner","A set of functions to provide the ability to manage Active Directory FSMO Roles.      Functions included;     Get-FSMORoleOwner      This CmdLet will export the FSMO roles from your domain. This information is then output in a Table,     showing which Domain Controller on the network holds the different FSMO Roles.","PS C:\> Get-FSMORoleOwner      PDCEmulator          : LSERV-DC01"
"Get-GroupMembers","",""
"Get-GroupNames","",""
"Get-ServerCapacity","",""
"Get-HostIOResults","",""
"Get-InsecureLDAPBinds","",""
"Get-InstalledDotNetVersions","",""
"Get-ipInfo","","Get-ipInfo -ApiKey YourApiKeyGoesHere -ipAddress 8"
"Get-KMSclientActivations","A detailed description of the Get-KMSclientActivations function.","PS C:\> Get-KMSclientActivations -ComputerName 'value1'"
"Get-KMSserverActivations","A detailed description of the Get-KMSserverActivations function.","PS C:\> Get-KMSserverActivations -ComputerName 'value1'"
"Get-LastBootTime","A detailed description of the Get-LastBootTime function.","PS C:\> Get-LastBootTime -ComputerName 'value1'"
"Get-LastGPOUpdateTime","",""
"Get-LastInstalledApplication","A detailed description of the Get-LastInstalledApplication function.","PS C:\> Get-LastInstalledApplication -ComputerName 'value1'"
"Get-LastRebootEvent","Get the last reboot information from multiple machines",""
"Get-LatestFiles","Short function that can be used to find/locate recently saved files. 		 		Searches are performed by passing the parameters to Get-Childitem which will then 		recursively search through your specified file path and then perform a sort to output 		the most recently amended files at the top of the list. 		 		Outputs inlcude the Directory,Filename and LastWriteTime","Get-LatestFiles -DaysPast 7 -Path 'C:\GitRepos\AdminToolkit\PowerShell' -FileType *.* 		 		Recursively scans the folder 'C:\GitRepos\AdminToolkit\PowerShell' looking for all files that have been 		amended in the last 7 days"
"Get-Lines","",""
"Get-LoadedFunctions","This function retrieves a list of loaded functions based on the specified verb and noun. If no verb or noun is specified, all loaded functions are returned.","Get-LoadedFunctions -Verb Get -Noun Item              This command retrieves a list of loaded functions that have ""Get"" as the verb and ""Item"" as the noun."
"Get-LockoutHistory","By default, this script displays list of accounts that have been locked out on the current domain since the last time the Event Log rolled over. Results can be filtered by using parameters.",".\Get-LockoutHistory"
"Get-LoggedOnRDPUser","",""
"Get-LogonEvents","",""
"Get-LogonHistory","",""
"Get-MSTeamsPhone","Install-RequiredModules - Tests to see if scripts/function required modules are available. Where module is missing it, the function installs the missing module and then imports all required modules.","PS C:\> Install-RequiredModules         Tests to see if scripts/function required modules are available. Where module is missing it, the function installs the missing module and then imports all required modules."
"Get-NextPayDay","",""
"Get-NumberOfDaysUntil","",""
"Get-O365CalendarPermissions","Get-O365CalendarPermissions - A function to get the permissions for a calendar. This function will only return the permissions for the calendar of the user named in UserPrincipalName. It will not return the permissions for any other calendars that the user may have access to.","Get-O365CalendarPermissions -UserPrincipalName ""user@example"
"Get-O365MailboxPermissions","",""
"Get-OldFiles","The Get-OldFiles function gets files that are older than a specified number of days. It accepts a mandatory parameter Path, which specifies the path to search for files. It also accepts an optional parameter Days, which specifies the number of days to look back for files. By default, it looks back 1 day. The function also accepts an optional parameter FileName, which specifies the name of the file to search for. By default, it searches for all files. The function also accepts optional switches Recurse and Summarize, which specify whether to search recursively and whether to summarize the results, respectively.","PS C:\> Get-OldFiles -Path ""C:\Logs"" -Days 7 -FileName ""*"
"Get-OUDialog","A self contained WPF/XAML treeview organizational unit selection dialog box. No AD modules required, just need to be joined to the domain.","$OU = Get-OUDialog"
"Get-OUfqdn","",""
"Get-OUfqdn","",""
"Get-PasswordAttempts","Returns the number of recent failed login attempts of all users or of a specific user. If a user is specified then just a number is returned.","No parameters needed.         Returns all users, of the local machine, with a could of failed login attempts.     Output Example:     UserName  FailedLoginAttempts     --------  -------------------     Fred                        4     Bob                         0"
"Get-PasswordAttempts2","Returns the number of recent failed login attempts of all users or of a specific user. If a user is specified then just a number is returned.","No parameters needed.         Returns all users, of the local machine, with a could of failed login attempts.     Output Example:     UserName  FailedLoginAttempts     --------  -------------------     Fred                        4     Bob                         0"
"Get-PatchTuesday","This function can be used to find the date for Microsoft's Patch Tuesday in any given Month. The default command without parameters will return the Patch Tuesday date for the current month.","PS C:\> Get-PatchTuesday 			This example will return the Patch Tuesday for the current month"
"Get-PortService","",""
"Get-PrintSpooler","A detailed description of the Get-PrintSpooler function.","PS C:\> Get-PrintSpooler -ComputerName 'value1'"
"Get-PSGalleryItemsForAuthor","This script will save all versions of all scripts and modules published to the PowerShell Gallery by a given Author. The Author is specified in the manifest for each item, and is expected to be consistent for a given user.  The script assumes that there is at least 1 version of every item that is listed.  This can be verified by logging into the PowerShell Gallery, navigating to https://www",""
"Get-QUserReport","This function can be used to extend the use of the QUser Command in order to levy some addition automation. 	This command will query the Server/s specified and output the session details 	( ID, SessionName,LogonTime, IdleTime, Username, State, ServerName). 	These details are output as objects and can therefore be manipulated to use with additional commands.","Get-QUserReport -ComputerName DANTOOINE  	ID          : 2 	SessionName : rdp-tcp#7 	LogonTime   : 25/03/2020 01:49 	IdleTime    : 2:41 	Username    : administrator 	State       : Active 	ServerName  : DANTOOINE"
"Get-RDPStatus","",""
"Get-RDPUserReport","This function can be used to extend the use of the QUser Command in order to levy some addition automation. This command will query the Server/s specified and output the session details ( ID, SessionName,LogonTime, IdleTime, Username, State, ServerName).  		These details are output as objects and can therefore be manipulated to use with additional commands.","Get-RDPUserReport -ComputerName DANTOOINE  		ID          : 2 		SessionName : rdp-tcp#7 		LogonTime   : 25/03/2020 01:49 		IdleTime    : 2:41 		Username    : administrator 		State       : Active 		ServerName  : DANTOOINE"
"Get-RemoteCipherDetails","",""
"Get-RemoteScheduledTasks","",""
"Get-RestartHistory","",""
"Get-RunOnceRegKeys","Retrieves the names and values of all RunOnce registry keys on the computer ""RemoteComputer01"".","Get-RunOnceRegKeys -ComputerName ""RemoteComputer01"" -Credential (Get-Credential)         Retrieves the names and values of all RunOnce registry keys on the computer ""RemoteComputer01"" using the provided credentials."
"Get-RunRegKeys","",""
"Get-ScheduledScript","",""
"Get-ScheduledTasks","",""
"Get-ScriptFunctionNames","",""
"Get-ServerCapacity","",""
"Get-ServerInstalledFeatures","",""
"Get-ServerIPInfo","",""
"Get-ServerTimeZone","A detailed description of the Get-ServerTimeZone function.","PS C:\> Get-ServerTimeZone -ComputerName 'value1'"
"Get-ServiceDetails","",""
"Get-ServiceStatus","",""
"Get-SpeedTestServers","Get-SpeedTestServers function is a function.","PS C:\> New-SpeedTest"
"Get-SystemEvent","",""
"Get-SysvolReplicationInfo","",""
"Get-TargetGPResult","A detailed description of the Get-TargetGPResult function. 		 		This command line tool displays the Resultant Set of Policy (RSoP) information for a target user and computer. 		Parameter List: 		/S        system           Specifies the remote system to connect to. 		/SCOPE    scope            Specifies whether the user or the computer settings need to be displayed. Valid values: ""USER"", ""COMPUTER"". 		/USER     [domain\]user    Specifies the user name for which the RSoP data is to be displayed. 		/H        <filename>       Saves the report in HTML format at the location and with the file name specified by the <filename> parameter. (valid in Windows at least Vista SP1 and at least Windows Server 2008)","Get-TargetUserGPResult -ComputerName 'value1' -TargetUser 'value2'"
"Get-TeamsFolderStructure","This function retrieves the folder structure for Microsoft Teams backgrounds. It determines whether the old or new folder structure is being used and returns the appropriate base path and upload path.","PS C:\> Get-TeamsFolderStructure         Returns a hashtable with the folder structure for Microsoft Teams backgrounds."
"Get-UserTeamsVersion","The function checks if Microsoft Teams is installed for the current user and retrieves its version if it is.         If Microsoft Teams is not installed for the current user, the function returns a message indicating so.","PS C:\> Get-UserTeamsVersion         1"
"Get-MachineTeamsVersion","This function retrieves the version of Microsoft Teams installed on a machine-wide basis by checking the registry key for Teams in the Uninstall subkey of HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion.         If Teams is installed, the function returns the version number. Otherwise, it returns a message indicating that Teams is not installed on a machine-wide basis.","PS C:\> Get-MachineTeamsVersion         1"
